item_id,min_price,median,quantity
17203,19600,63630,3356
191359,21400,27500,18053
192615,61,63,55780
153439,222,325,802
7099,125,152,47
32203,1450,1472,588
192671,500,600,58
7067,279,400,3763
197743,133,535,68196
76535,195,477500,80
159,1,99,149099
80591,75,2500,736
21071,130,130,2155
168303,11,98,37946
124115,335,766,73089
27671,175,925,1237
201991,30515,37500,3375
62791,75,500,11476
74859,835,1170,6652
193951,47,87,8395
171267,200,300,1757
194815,4000,9900,424
191335,16400,16500,4314
108327,152,3303,2439
193259,98,116,86358
172935,68,11119,14925
193211,125,131,1957733
30183,331,500,4679
192627,64,64,63
193223,1900,2905,147009
154891,111,300,2987
123919,125,589,458527
18227,50000,50000,10
190327,14799,15003,41026
187707,7840,12499,516
40039,1100,1100,15
160483,100,159,106
124439,1,54,81978
36923,100,444,3628
133579,9800,9800,453
52219,10000,10000,32
955,95,10000,217
154899,7,7,25313
102543,75,75,672
191495,30385,30417,9408
39567,450,450,84
204463,399900,555573,9096
193215,89,90,1245515
33447,175,2076576,495
198187,1915,2515,968
112299,899,899,16
7079,12,16,5923
199951,500,507,177
151567,389,2269,296916
192623,60,60,130
118007,15,136600,1304
29739,200,216,41108
152631,6,73,9906
2251,80,140,10158
191499,9566,11368,265
67407,4700,4700,11
152507,249,500,249125
8831,1939,5860,10185
72103,1715,3455,32718
13455,904,904,62
52327,648,869,34196
80587,11999,12500,392
90551,455,496,28
154707,1800,1800,529
197783,3344,3419,7364
13463,477,2037,21192
180059,3000,4691,226
24039,1000,1294,37
172047,14,14,226
38867,106,554,108
111595,191,192,11564
199219,1985,2299,616
44327,2500,2975,21
191387,4000,4052,951
197747,10,21,406974
4375,1602,2800,700
72163,1999,5499,8715
162559,519,519,6
202071,41,41,5229
41595,19730,19730,1639
201311,2800,2981,34
198395,188,231,20673
192635,60,136600,1814
24479,29899,29900,5645
194795,4900,9900,509
16203,1784,4000,27666
192847,297,731,45290
38991,1769,1769,49
192951,42100,42200,210
197755,70,119,142657
58091,69,356,143
52747,17837,17840,51
58259,900,900,124
108323,135,3303,2415
29451,4,5,290
192895,56,270,2060
152559,100,400,205
191339,4000,5238,627
78883,22450,29996,360
193227,7588,8868,6521
194827,140125,259119,54
133571,15,15,594
139271,90076,145000,292
109627,398,1989,904
178539,2875,2875,18
68055,40000,40000,6
191379,400,813,5036
33567,385,390,1930
32227,222,12770,7576
5523,38,42,5872
5503,40,89,14398
76683,159,159,42
32839,172275,172275,18
158379,45,45,1277
31671,124,599,3459
173859,19,19,598
193251,100,124,704957
40199,590,1000,1314
7911,657,844,7917
140187,22,25,122
182459,2500,2500,55
10939,110,500,122740
197775,310,317,9096
127759,100,439,9934
52979,250,3998,31163
38871,59999,62777,18
193923,729,770,160510
109147,1072,1072,391
179315,7,7,24873
43115,1900,4898,5173
190451,3119,3600,29586
2799,4,8,526
45199,37500,222200,27
165755,300,315,662
20867,143,144,93
187703,1600,3900,76090
111603,28,29,1810
138875,15,401,344
3355,700,1352,25860
40147,12574,12575,27
142335,9,96,39433
5467,430,5000,385
197771,85,88,152101
37703,390,427,11097
43851,11,14,156
176087,125,125,23
172055,7,707,40359
199991,599,599,284
2723,1,1,111
12207,19,20,1361
173059,94,100,40916
168583,1112,2333,12467
194691,125,277,19504
52295,32501,32501,8
198219,1705,2013,690
35759,199,199,343
43015,2500,2500,161
109135,200,242,25468
40023,5095,5095,88
152543,305,543,42259
194823,2399,2699,8603
128839,150,150,184
198535,1500,1900,33
6303,52,1215,3142
194011,60000,60000,389
172043,6692,7892,6536
74643,500,1000,326
191323,3095,6998,833
22791,790,2700,14520
81415,60,65,125
25679,25,125,38
40119,1705,1705,116
24055,750,750,75
2771,250,389,11771
194123,399,449,563374
152875,98,133,729308
197855,99,175,786
3827,5,2000,1408
138727,95,425,6744
115355,155,155,114
192871,11997,15025,7186
138983,1824,1924,4
62667,198,999,557
128315,525000,749950,1288
172439,374,374,32832
199959,555,570,37
127839,4910,5899,157
14227,5500,24900,3470
171831,350,1503,28640
38851,30000,116107,57
2319,399,1200,58440
111663,30,35,2306
77531,297,299,55
52983,1009,3056,25640
22851,2038,2039,236
12799,65,193,6335
192887,14800,15000,450
194571,3049,3049,84
197787,3573,3800,25838
199979,541,599,166
158839,34,390000,89
201399,940,1949,8130
199943,500,915,351
197735,99989,171643,220
197767,276,276,14284
19263,4537,4537,10
74843,175,222,2214
199955,600,980,385
41163,21500,39984,4230
197791,1390,2675,7553
200023,22997,23095,4279
43103,2200,22600,6521
28399,3,5500,2974
172231,30,450,833349
74863,455,1600,3456
4339,40,45,5625
3667,8,299,4679
191467,215,244,83633
172367,309,318,98
63299,420,420,29
11407,45,45,15
23095,280,280,162
187699,4600,7900,9816
7971,1198,1303,854
198487,90,133,12268
155615,39,39,86
191519,255,400,7311
74851,1045,1094,1396
198231,1067,1100,11
43647,2499,3000,733
200055,122013,148013,519
74839,546,2394,4137
7075,5,120,28968
7967,1110,2405,41
199995,509,509,171
171315,1145,3600,21979
108331,326,3600,2621
40035,2300,2300,282
5635,282,3303,1382
126935,11000,15000,213
76087,618,1262,114
38971,200,291,17
200615,4500,4800,1597
15419,11187,11995,1375
193387,652,652,3
194967,370,513,48021
193939,59895,60504,7796
12203,14,14,106267
87883,2900,3204,195
33639,11233,11233,23
192651,188,188,130
3771,1,300008,1609
198491,50,86,469
59595,395,400,40
199935,518,545,201
52195,6100,40000,851
24291,135,135,158
193559,500,755,31
12607,14769,19797,4028
191383,9273,9273,74039
36931,1459,4577,2796
2687,4,4,482
130219,7450,7450,35
23079,95,290,3667
194015,43000,43100,1040
198303,299998,299998,62
183955,890,1780,1688
166343,99,99,546
198255,180086,180087,249
190395,50,20000,80205
36903,200,926,40407
201403,400,3000,24633
12363,59675,59900,1950
36907,400,1614,25978
32727,1500,1500,7
56035,50000,4800000,44
19259,1499,1499,21
194579,995,1500,721
124119,187,200,1955
14343,69,94,305069
192839,130,205,29337
193931,1880,1887,47545
154167,4500,4500,253
44739,350,350,204
132223,265,266,48
133591,35,35,1368
