item_id,min_price,median,quantity
163094,8569,8569,5
165755,74,366,1092
154899,7,7,42931
133567,16,750,1446
194562,99,500002,792
162026,202,15000,50
173161,3170,12599,1085
159827,8,15,505
172062,98,296,215
179315,7,7,45962
201315,501,501,142
2460,6285,6769,7827
171841,13,13,7970
178550,19,19,559
192842,599,600,7308
62782,50,1545,55389
33462,3,3,101
172054,7,7,52091
58088,21000,22299,1537
109221,69,69,184
175053,400,400,65
133607,10,12,14233
187712,9,15,85
175056,3300,3300,18
175052,400,500,51
27858,3,3,415
197776,10,29975,9670
191471,749,1428,130169
190532,43997,64770,1998
171264,30,50,253
173042,6,10,353
201401,5830,9108,2676
22832,50,75,2044
19767,4287,7611,8874
205868,2094,1900074,242
44601,8,500,5792
21877,9,25,293468
38303,50,50,299
192695,1985,1985,68
31918,150000,150000,11
53072,89,203,7145
205700,67,68,587
163855,120,260,7
167739,916,916,119
10592,1499,319797,815
40769,14000,14200,2740
124110,8,770,6986
192635,61,61,1914
7307,3,3,145
22576,966,1100,10933
173039,6,8,457
124109,215,5500,11177
152718,19,19,77
44716,26994,36534,47
180168,12,18,81
19768,4947,34774,10465
37700,270,900,5706
36782,100,100,3652
163098,495,15000,43
190322,3798,3887,195121
52722,192,999,43708
34053,175,3303,3786
163051,530,530,112
173038,3,3,743
41810,11,1515,13014
191360,844,511109,1465
191369,4787,5038,242
3729,94,94,860
49908,718,719,1067
1206,1679,299900,14217
172089,40,100,248248
42994,1193,1194,166
179314,7,99,59557
35563,2,5,963
173874,130,4800030,237
6470,50,600,18946
101662,7748,14515,553
12202,23,75,13189
74649,2598,3399,235
192855,570,1500,63905
173871,200,200,240
1210,948,293902,7275
52168,100,125,24
127838,2700,4500,367
178136,52,52,78
175957,588,588,15
118006,29,55,575
192870,6220,8499,4930
176871,153,153,44
12184,49,3000,5695
158861,132,132,78
12205,57,118,7789
113278,500,500,15
191950,4134,4634,3358
114004,1000,3900,29
12204,46,3303,3482
4395,310,310,42
2799,65,74,3329
117415,1050,1215,36
163103,360,15000,81
193224,36775,80000,20829
163843,4000,4500,10
176862,1000,1009,155
118225,9,12,514
173204,40,80,1018674
193223,10000,21495,77616
62786,69,132,2891
765,425,799,22664
34056,32,351,75879
117442,89,89,213
178114,175,175,66
2592,22,45,73494
201469,18,19,28721
81404,90,100,116
117453,88,88,167
15416,490,772,14286
4306,13,15,184982
189153,800,5000,2309
117439,91,91,163
2674,2300,9900,4131
12207,88,173,1675
40771,1190,3172,414
178132,2288,2508,22
199958,575,579,111
199957,550,575,143
189148,1990,10000,1408
16203,1246,1500,33753
198281,995,1505,77
193217,637,10000,135010
194850,950,4920,1764
199947,525,619,178
88490,70000,70000,2
180060,4606,9999,122
204235,19,19,254
187635,320,5000,1288
173202,6,18,7586512
199952,504,504,188
193255,1700,7099,137035
1705,241,795,17239
12238,399,500,229
52720,220,396,1665
52979,299,5585,18534
190388,100,5000,1569
172052,7,7,118547
81414,13,14,926
178225,594,8092,32
12809,3855,3857,2892
8170,475,545,5478
34765,10,19,139
136558,466,468,124
3731,4797,6036,1326
198293,1000,1099,248
204858,20083,20083,92
198239,580,630,239
36916,3200,3295,13736
171271,74,75,868
199950,503,503,274
198298,100,500000,155
193957,49,34177,1903
154722,8,100,152709
201468,1272,1272,184
193951,50,480054,5359
2770,225,2000,166159
23381,2,10,19
41604,24486,24486,24
172092,30,75,340287
199951,579,579,169
52764,270,300,215
197766,237,241,99132
200652,8099400,10599999,372
2771,210,400,20829
38940,27594,27594,53
72162,47,49,21223
198229,4000,4000,1436
176852,139,139,173
198268,3899,4298,206
44482,8,7000,6556
168446,14955,14966,117
36925,80,9905,1162
178113,59,59,69
7972,39,75,6602
124441,485,2500,55608
74718,169,409,12
25868,215000,216900,187
74720,138,139,29
40016,100,476,10
